# remote_host=100.121.87.73
# vmstat_interval_seconds=1
# started_local=2026-03-12T15:22:50+08:00
# started_remote=2026-03-12T15:22:50+08:00
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 13038136   7504 705500    0    0     0    44 1213 2309  0  1 99  0  0  0
 0  0      0 13038524   7504 705516    0    0     0     0  309  423  0  0 100  0  0  0
 0  0      0 13038776   7504 705512    0    0     0    68 1298 2228  0  1 99  0  0  0
 0  0      0 13019752   7504 705520    0    0     0    12  737 1340  2  0 98  0  0  0
 0  0      0 13018108   7504 705520    0    0     0     0 2186 3405  0  1 98  0  0  0
 0  0      0 13016744   7512 705552    0    0     0   124  742  962  0  0 99  0  0  0
 0  0      0 13015740   7512 705536    0    0     0     0 1107 2210  0  1 99  0  0  0
 0  0      0 13015992   7512 705536    0    0     0     0  218  281  0  0 100  0  0  0
 1  0      0 13015740   7512 705536    0    0     0     0  920 1937  0  0 99  0  0  0
 0  0      0 13013472   7512 705536    0    0     0     0  890 1182  0  0 99  0  0  0
 0  0      0 13014228   7520 705540    0    0     0    36  647  858  0  0 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 13013220   7520 705540    0    0     0     0 1107 2183  0  0 99  0  0  0
 0  0      0 13012968   7520 705544    0    0     0     0  219  355  0  0 100  0  0  0
 0  0      0 13012464   7520 705540    0    0     0     0 1260 2189  0  0 100  0  0  0
 0  0      0 13012716   7520 705536    0    0     0    12  185  286  0  0 100  0  0  0
 0  0      0 13012716   7528 705536    0    0     0    52 1300 2204  0  1 98  1  0  0
 0  0      0 13013472   7528 705536    0    0     0     0  310  435  0  0 100  0  0  0
 0  0      0 13014672   7528 705536    0    0     0     0 1159 2252  0  1 99  0  0  0
 0  0      0 13014784   7528 705532    0    0     0     0  205  350  0  0 100  0  0  0
 0  0      0 13014028   7536 705524    0    0     0    52 1126 2152  0  1 99  0  0  0
 0  0      0 13014028   7544 705520    0    0     0    56  218  350  0  0 100  0  0  0
 0  0      0 13013776   7544 705532    0    0     0     0 1058 2151  0  1 99  0  0  0
 0  0      0 13013776   7544 705532    0    0     0     0  340  548  0  0 100  0  0  0
 0  0      0 13013524   7544 705528    0    0     0     0 1117 2168  0  1 99  0  0  0
 0  0      0 13013776   7544 705516    0    0     0     0  218  376  0  0 100  0  0  0
 0  0      0 13009744   7552 705676    0    0   132   264 2418 4303  0  1 96  2  0  0
 1  0      0 13010256   7552 705676    0    0     0     0  297  359  0  0 100  0  0  0
 1  0      0 13010256   7552 705676    0    0    24    64 1262 2357  0  1 99  0  0  0
 1  0      0 13010508   7552 705716    0    0     0     0  208  306  0  0 100  0  0  0
 1  0      0 13010256   7552 705712    0    0     0     0 1231 2130  0  0 99  0  0  0
 1  0      0 13010508   7560 705704    0    0     0    36  231  347  0  0 99  1  0  0
 1  0      0 13010508   7560 705696    0    0     0     0 1371 2219  0  1 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 13010508   7560 705696    0    0     8     0  279  423  0  0 100  0  0  0
 1  0      0 13010508   7560 705708    0    0     0     0 1877 2963  0  1 99  0  0  0
 1  0      0 13010508   7560 705708    0    0     0     0  685  957  0  0 100  0  0  0
 1  0      0 13010508   7568 705708    0    0     0   264 1701 2660  0  1 98  1  0  0
 1  0      0 13010508   7568 705708    0    0     0     0  394  600  0  0 100  0  0  0
 1  0      0 13009752   7568 705708    0    0     0     0 1604 2595  0  1 99  0  0  0
 1  0      0 13009752   7568 705708    0    0     0     0  531  745  0  0 100  0  0  0
 4  0      0 13016452   7712 706476    0    0   884    12 2143 3334  2  1 97  0  0  0
 1  0      0 13014296   7724 706476    0    0     0   152 1012 1018  0  0 99  0  0  0
 1  0      0 13014136   7724 706476    0    0     0     0  396  354  0  0 100  0  0  0
 1  0      0 13013352   7724 706480    0    0     0     0 1095 2142  0  1 99  0  0  0
 1  0      0 13013352   7724 706476    0    0     0     0  222  375  0  0 100  0  0  0
 0  0      0 13016900   7724 706440    0    0     0     0 1331 2220  0  1 99  0  0  0
 0  0      0 13016900   7724 706444    0    0     0     0  283  474  0  0 100  0  0  0
 0  0      0 13015176   7732 706444    0    0     0    48 1339 2260  0  0 98  1  0  0
 0  0      0 13014348   7732 706440    0    0     0     0  258  414  0  0 100  0  0  0
 0  0      0 13014348   7732 706440    0    0     0     0 1272 2158  0  1 99  0  0  0
 0  0      0 12983276   7732 706448    0    0     0    12  833 1251  4  1 96  0  0  0
 0  0      0 12985040   7732 706456    0    0     0    64 1609 3205  1  1 98  0  0  0
 0  0      0 12983276   7740 706456    0    0     0    92  746  914  0  0 99  0  0  0
 0  0      0 12981764   7740 706464    0    0     0     0 1318 2181  0  1 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 12981764   7740 706464    0    0     0     0  200  290  0  0 100  0  0  0
 0  0      0 12982016   7740 706464    0    0     0     0 1236 1969  1  0 98  0  0  0
 0  0      0 12981764   7740 706464    0    0     0     0  751 1002  0  0 99  0  0  0
 0  0      0 12980756   7748 706464    0    0     0    36 1789 2708  0  1 98  1  0  0
 0  0      0 12981008   7748 706464    0    0     0     0  248  359  0  0 100  0  0  0
 0  0      0 12980528   7748 706464    0    0     0     0 1343 2141  0  1 99  0  0  0
 0  0      0 12980756   7748 706464    0    0     0     0  191  305  0  0 100  0  0  0
 0  0      0 12980756   7748 706464    0    0     0     0 1276 2145  0  0 99  0  0  0
 0  0      0 12981512   7756 706464    0    0     0    40  271  370  0  0 99  0  0  0
 0  0      0 12981512   7756 706468    0    0     0     0 1246 2109  0  1 99  0  0  0
 0  0      0 12981512   7756 706464    0    0     0     0  245  384  0  0 100  0  0  0
 0  0      0 12982268   7756 706464    0    0     0     0 1286 2102  0  0 99  0  0  0
 0  0      0 12982268   7756 706464    0    0     0    56  226  325  0  0 100  0  0  0
 0  0      0 12982268   7764 706472    0    0     0   220 1450 2400  1  1 99  0  0  0
 0  0      0 12982268   7764 706472    0    0     0     0  194  268  0  0 100  0  0  0
 0  0      0 12982520   7764 706468    0    0     0     0 1142 2100  0  0 100  0  0  0
 0  0      0 12982268   7764 706468    0    0     0     0  263  355  0  0 100  0  0  0
 1  0      0 12982016   7764 706468    0    0     0     0 1072 1885  0  1 99  0  0  0
 0  0      0 12982016   7772 706460    0    0     0   264  440  577  0  0 99  1  0  0
 0  0      0 12982268   7772 706472    0    0     0     0  272  366  0  0 100  0  0  0
 0  0      0 12981764   7772 706468    0    0     0     0 1226 2172  0  1 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 12981764   7772 706468    0    0     0     0  209  318  0  0 100  0  0  0
 0  0      0 12981260   7772 706464    0    0     0     0 1342 2226  0  1 99  0  0  0
 0  0      0 12981260   7780 706464    0    0     0    36  306  434  0  0 99  1  0  0
 0  0      0 12981400   7780 706468    0    0     0     0 1151 2148  0  1 99  0  0  0
 0  0      0 12981400   7780 706468    0    0     0     0  193  297  0  0 100  0  0  0
 0  0      0 12981524   7780 706468    0    0     0     0 1006 2048  0  1 99  0  0  0
 0  0      0 12981524   7780 706468    0    0     0     0  211  318  0  0 100  0  0  0
 1  0      0 12980140   7788 706460    0    0     0    28 1036 2103  0  1 99  1  0  0
 0  0      0 12980140   7788 706472    0    0     0     4  241  338  0  0 100  0  0  0
 0  0      0 12980392   7788 706472    0    0     0     0 1041 2058  0  1 99  0  0  0
 0  0      0 12980392   7788 706472    0    0     0     0  212  317  0  0 100  0  0  0
 0  0      0 12979412   7788 706468    0    0     0     0  923 2036  0  1 99  0  0  0
 0  0      0 12979412   7796 706468    0    0     0    48  207  331  0  0 99  1  0  0
 0  0      0 12977900   7796 706468    0    0     0     0 1083 2131  0  1 99  0  0  0
 0  0      0 12977900   7796 706468    0    0     0     0  223  326  0  0 100  0  0  0
 0  0      0 12977648   7796 706468    0    0     0     0 1121 2167  0  1 99  0  0  0
 1  0      0 12977900   7796 706468    0    0     0     0  214  335  0  0 100  0  0  0
 0  0      0 12977648   7804 706460    0    0     0    28 1224 2265  0  1 98  1  0  0
 0  0      0 12977900   7804 706468    0    0     0     0  263  375  0  0 100  0  0  0
 0  0      0 12977648   7804 706464    0    0     0     0 1059 2094  0  0 99  0  0  0
 0  0      0 12977648   7804 706464    0    0     0     0  190  301  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 12977648   7804 706464    0    0     0     0 1096 2139  0  1 99  0  0  0
 0  0      0 12977396   7820 706468    0    0     0   144  227  341  0  0 99  1  0  0
 0  0      0 12977144   7820 706472    0    0     0    64 1356 2217  0  1 99  0  0  0
 0  0      0 12977144   7820 706472    0    0     0     0  230  336  0  0 100  0  0  0
 0  0      0 12976640   7820 706472    0    0     0     0 1304 2133  0  1 99  0  0  0
 0  0      0 12976640   7820 706472    0    0     0     0  223  335  0  0 100  0  0  0
 0  0      0 12976388   7828 706464    0    0     0    56 1280 2157  0  1 99  1  0  0
 0  0      0 12976892   7828 706476    0    0     0     8  283  367  0  0 100  0  0  0
 1  0      0 12976640   7828 706472    0    0     0     0  328  526  0  0 100  0  0  0
 0  0      0 12976388   7828 706472    0    0     0     0 1173 1961  0  0 99  0  0  0
 0  0      0 12976388   7828 706472    0    0     0     0  206  314  0  0 100  0  0  0
 0  0      0 12976892   7836 706472    0    0     0    48  953 2141  0  1 98  1  0  0
 0  0      0 12977152   7836 706472    0    0     0     0  221  336  0  0 100  0  0  0
 0  0      0 12976900   7836 706472    0    0     0     0 1074 2116  0  0 99  0  0  0
 0  0      0 12977264   7836 706472    0    0     0     0  212  335  0  0 100  0  0  0
 0  0      0 12976508   7836 706472    0    0     0     0 1030 2087  0  0 99  0  0  0
 0  0      0 12976508   7844 706464    0    0     0    28  221  342  0  0 99  1  0  0
 0  0      0 12977016   7844 706480    0    0     0     0 1414 2591  0  1 99  0  0  0
 0  0      0 12977016   7844 706480    0    0     0     0  325  455  0  0 100  0  0  0
 0  0      0 12976512   7844 706476    0    0     0     0 1020 2067  0  1 99  0  0  0
 0  0      0 12976512   7844 706476    0    0     0     0  240  386  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 12976512   7852 706468    0    0     0    44 1169 2107  0  1 99  1  0  0
 0  0      0 12976512   7852 706468    0    0     0     0  225  348  0  0 100  0  0  0
 0  0      0 12977520   7852 706476    0    0     0    76 1249 2126  0  1 99  0  0  0
 0  0      0 12977520   7852 706476    0    0     0     0  185  282  0  0 100  0  0  0
 0  0      0 12977016   7852 706480    0    0     0     0 1334 2243  0  1 99  0  0  0
 0  0      0 12977772   7860 706472    0    0     0    44  295  408  0  0 99  1  0  0
 0  0      0 12976764   7860 706484    0    0     0     0  903 2049  0  0 99  0  0  0
 0  0      0 12976776   7860 706468    0    0     0     0  243  350  0  0 100  0  0  0
 0  0      0 12976020   7860 706464    0    0     0     0 1289 2178  0  1 99  0  0  0
 0  0      0 12976020   7860 706464    0    0     0    56  222  353  0  0 100  0  0  0
 0  0      0 12976272   7868 706464    0    0     0    36 1302 2214  0  0 98  1  0  0
 0  0      0 12976272   7868 706464    0    0     0    16  206  323  0  0 100  0  0  0
 0  0      0 12975524   7868 706464    0    0     0     0 1287 2145  0  0 99  0  0  0
 0  0      0 12976020   7868 706464    0    0     0     0  209  335  0  0 100  0  0  0
 0  0      0 12976020   7868 706464    0    0     0     0 1076 2056  0  0 99  0  0  0
 0  0      0 12976020   7876 706456    0    0     0    48  222  351  0  0 99  0  0  0
 0  0      0 12976020   7876 706468    0    0     0    68 1098 2113  0  0 99  0  0  0
 0  0      0 12976020   7876 706468    0    0     0     0  251  359  0  0 100  0  0  0
 3  0      0 12976272   7876 706464    0    0     0     0  925 1991  0  0 100  0  0  0
 0  0      0 12976028   7876 706464    0    0     0     0  317  397  0  0 100  0  0  0
 0  0      0 13053264    608 640988    0    0     4    40  392  522  0  1 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 13050064    608 642604    0    0  1620     4 1188 2241  0  1 99  0  0  0
 0  0      0 13049988    608 642612    0    0     0     0  294  427  0  0 100  0  0  0
 0  0      0 13049736    608 642612    0    0     0     0 1100 2145  0  1 99  0  0  0
 0  0      0 13049988    608 642616    0    0     0     0  240  381  0  0 100  0  0  0
 0  0      0 13050240    620 642644    0    0    16    52 1338 2211  0  1 99  1  0  0
 0  0      0 13050240    628 642644    0    0     0    44  218  311  0  0 99  1  0  0
 0  0      0 13050240    628 642644    0    0     0     0 1336 2141  0  1 99  0  0  0
 0  0      0 13050240    628 642644    0    0     0     0  216  338  0  0 100  0  0  0
 0  0      0 13051288    628 642656    0    0     0     0 1285 2113  0  0 99  0  0  0
 0  0      0 13051500    628 642656    0    0     0     0  198  323  0  0 100  0  0  0
 0  0      0 13049988    636 642656    0    0     0   104 1273 2112  0  1 99  0  0  0
 0  0      0 13049988    636 642656    0    0     0     0  226  334  0  0 100  0  0  0
 0  0      0 13049988    636 642656    0    0     0     0 1293 2142  0  1 99  0  0  0
 0  0      0 13049736    636 642656    0    0     0     0  219  343  0  0 100  0  0  0
 0  0      0 13049492    636 643956    0    0  1316     0 1414 2203  0  1 99  0  0  0
 0  0      0 13052968    644 643976    0    0     0    32  190  283  0  0 99  0  0  0
 0  0      0 13052716    644 643972    0    0     0     0 1336 2193  0  1 99  0  0  0
 0  0      0 13052716    644 643972    0    0     0     0  223  351  0  0 100  0  0  0
 0  0      0 13052476    644 643988    0    0     0     0 1220 2158  0  0 99  0  0  0
 0  0      0 13052476    644 643988    0    0     0     0  210  341  0  0 100  0  0  0
 1  0      0 13051228    652 643988    0    0     0    40 1215 2077  0  0 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 13051228    652 643992    0    0     0     4  242  352  0  0 100  0  0  0
 0  0      0 13050976    652 643992    0    0     0     0 1243 2139  0  0 99  0  0  0
 0  0      0 13050976    652 643992    0    0     0     0  429  736  0  0 100  0  0  0
 0  0      0 13050724    656 643996    0    0     4     4 1235 2102  0  1 99  0  0  0
 0  0      0 13050472    668 644000    0    0     4    40  284  496  0  0 99  1  0  0
 0  0      0 13050472    668 644004    0    0     0    16 1233 2310  0  0 99  0  0  0
 0  0      0 13050472    668 644012    0    0     0     0  272  419  0  0 100  0  0  0
 0  0      0 13049220    668 644016    0    0     0     0 1041 2321  0  0 99  0  0  0
 0  0      0 13049968    668 644000    0    0     0     0  387  434  0  0 100  0  0  0
 1  0      0 13049112    676 643996    0    0     0    64  320  528  0  0 99  1  0  0
 0  0      0 13048620    676 643996    0    0     0    48 1124 2158  0  1 99  1  0  0
 0  0      0 13048620    676 643996    0    0     0     0  171  268  0  0 100  0  0  0
 0  0      0 13048872    676 643996    0    0     0    64 1197 2173  0  1 99  0  0  0
 0  0      0 13048872    676 644000    0    0     0     0  197  320  0  0 100  0  0  0
 0  0      0 13048368    684 644000    0    0     0    44 1281 2134  0  0 99  1  0  0
 0  0      0 13048368    684 643996    0    0     0     0  261  375  0  0 100  0  0  0
 0  0      0 13049376    684 644016    0    0     0     0 1296 2138  0  0 99  0  0  0
 0  0      0 13049376    684 644016    0    0     0     0  199  301  0  0 100  0  0  0
 0  0      0 13049124    684 644016    0    0     0     0 1279 2166  0  1 99  0  0  0
 0  0      0 13049124    692 644012    0    0     0    36  208  300  0  0 100  0  0  0
 0  0      0 13048872    692 644012    0    0    12     0 1407 2388  0  1 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 13048872    692 644024    0    0     0     0  185  286  0  0 100  0  0  0
 0  0      0 13048368    692 644024    0    0     0     0 1509 2583  0  1 99  0  0  0
 0  0      0 13048872    692 644028    0    0     0     0  308  427  0  0 100  0  0  0
 0  0      0 13048116    700 644020    0    0     0    44 1276 2101  0  0 99  1  0  0
 0  0      0 13048368    700 644028    0    0     0     0  267  428  0  0 100  0  0  0
 0  0      0 13047108    700 644204    0    0   452     0 1650 2548  1  1 99  0  0  0
 0  0      0 13046856    700 644204    0    0     0    56  391  449  0  0 100  0  0  0
 0  0      0 13047108    700 644484    0    0     0     0 1139 2083  0  0 99  0  0  0
 0  0      0 13047108    708 644476    0    0     0    36  235  371  0  0 99  1  0  0
 0  0      0 13050340    708 644484    0    0     0     0 2024 3735  1  1 99  0  0  0
 0  0      0 13050592    724 644488    0    0    16    12  859 1520  1  0 99  0  0  0
 0  0      0 13049836    724 644488    0    0     0     0 1696 3072  0  1 99  0  0  0
 0  0      0 13049836    724 644492    0    0     0     0  499  897  0  0 100  0  0  0
 0  0      0 13049836    732 644496    0    0     0    64 1323 2203  0  1 99  0  0  0
 0  0      0 13049836    732 644496    0    0     0     0  268  386  0  0 100  0  0  0
 0  0      0 13049596    732 644508    0    0     0    76 1666 2662  0  1 99  0  0  0
 0  0      0 13049848    732 644508    0    0     0     0  422  511  0  0 100  0  0  0
 0  0      0 13049140    732 644508    0    0     0     0 1721 2689  0  1 99  0  0  0
 0  0      0 13047540    740 644508    0    0     0    48  432  495  0  0 99  1  0  0
 1  0      0 13045064    956 646692    0    0  2604     0 1671 2019  0  1 98  0  0  0
 0  0      0 13045568    956 646692    0    0     0     8 1710 2603  0  1 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 13045568    956 646900    0    0     0     0  448  569  0  0 100  0  0  0
 0  0      0 13045316    956 646904    0    0     0     0 1122 2185  0  1 99  0  0  0
 0  0      0 13045316    964 646904    0    0     0    52  198  293  0  0 99  1  0  0
 0  0      0 13044812    964 646904    0    0     0     0 1042 2098  0  0 99  0  0  0
 0  0      0 13044560    964 646904    0    0     0    40  614  781  0  0 100  0  0  0
 0  0      0 13044056    964 646920    0    0     0     0 1350 2486  0  0 99  0  0  0
 0  0      0 13044056    964 646920    0    0     0     0  200  316  0  0 100  0  0  0
 0  0      0 13043804    972 646928    0    0     0    36 1036 2098  0  0 99  0  0  0
